Transcription-Units	Sequence - coordinates of DNA region	Direction	Transcription units - promoter of operon	Sequence - coordinates of DNA region of promoter
ompA	[ompA 1,019,013 &larr; 1,020,191]	-	ompAp1	[ompAp1 1,020,191]
ispDF	[ispDF 2,871,301 &larr; 2,872,490]	-		
metJ	[metJ 4,128,078 &larr; 4,128,529]	-	metJp2	[metJp2 4,128,529]
rrsE-gltV-rrlE-rrfE	[rrsE-gltV-rrlE-rrfE 4,207,971 &rarr; 4,213,209]	+	rrsEp2	[rrsEp2 4,207,971]
yhdT-panF-prmA	[yhdT-panF-prmA 3,407,351 &rarr; 3,410,042]	+	yhdTp	[yhdTp 3,407,351]
ycgY	[ycgY 1,245,160 &rarr; 1,245,600]	+		
proL	[proL 2,286,141 &rarr; 2,286,331]	+	proLp	[proLp 2,286,207]
nuoMN	[nuoMN 2,390,005 &larr; 2,393,071]	-	nuoMp	[nuoMp NIL &larr; NIL]
artPIQM	[artPIQM 900,695 &larr; 903,769]	-	artPp	[artPp 903,769]
galS	[galS 2,240,628 &larr; 2,241,710]	-	galSp	[galSp 2,241,710]
chiA	[chiA 3,467,160 &larr; 3,469,896]	-	chiAp	[chiAp 3,469,896]
flxA	[flxA 1,646,388 &rarr; 1,646,737]	+	flxAp	[flxAp 1,646,388]
sibB	[sibB 2,153,646 &rarr; 2,153,781]	+	sibBp	[sibBp 2,153,646]
exbD	[exbD 3,150,552 &larr; 3,151,390]	-	exbDp	[exbDp 3,151,390]
iscRSUA	[iscRSUA 2,659,563 &larr; 2,662,199]	-	iscRp	[iscRp 2,662,199]
fecIR	[fecIR 4,516,764 &larr; 4,518,282]	-	fecIp	[fecIp 4,518,282]
rpmH-rnpA	[rpmH-rnpA 3,884,111 &rarr; 3,884,852]	+	rpmHp1	[rpmHp1 3,884,111]
rseD-rpoE-rseABC	[rseD-rpoE-rseABC 2,707,322 &larr; 2,710,186]	-	rseDp4	[rseDp4 2,710,186]
ffs	[ffs 476,448 &rarr; 476,561]	+		
yodB	[yodB 2,042,368 &rarr; 2,042,898]	+		
slt	[slt 4,630,700 &rarr; 4,632,670]	+	sltp7	[sltp7 4,630,700]
clpB	[clpB 2,731,557 &larr; 2,734,205]	-	clpBp	[clpBp 2,734,205]
napFDAGHBC	[napFDAGHBC 2,297,657 &larr; 2,303,695]	-	napFp3	[napFp3 2,303,695]
ymdA	[ymdA 1,105,201 &rarr; 1,105,725]	+	ymdAp	[ymdAp 1,105,201]
mlc	[mlc 1,667,344 &larr; 1,668,603]	-	mlcp1	[mlcp1 1,668,603]
yjgZ	[yjgZ 4,501,260 &rarr; 4,501,589]	+		
ftsK	[ftsK 933,138 &rarr; 937,213]	+	ftsKp1	[ftsKp1 933,138]
xdhABC	[xdhABC 3,000,265 &rarr; 3,003,968]	+	xdhAp2	[xdhAp2 3,000,265]
acpT	[acpT 3,612,969 &rarr; 3,613,556]	+		
aaeXAB	[aaeXAB 3,386,221 &larr; 3,389,430]	-	aaeXp	[aaeXp 3,389,430]
asd	[asd 3,573,775 &larr; 3,574,878]	-		
norR	[norR 2,830,775 &larr; 2,832,289]	-		
ycfT	[ycfT 1,174,092 &larr; 1,175,165]	-		
ydiE	[ydiE 1,789,613 &rarr; 1,789,804]	+		
leuS-lptE-holA-nadD-cobC	[leuS-lptE-holA-nadD-cobC 669,296 &larr; 674,783]	-		
mlc-ynfK	[mlc-ynfK 1,666,524 &larr; 1,668,591]	-	mlcp	[mlcp 1,668,591]
yfjXY-ypjJ-yfjZ-ypjF	[yfjXY-ypjJ-yfjZ-ypjF 2,775,919 &rarr; 2,777,782]	+		
slyB	[slyB 1,719,744 &rarr; 1,720,343]	+	slyBp1	[slyBp1 1,719,777]
lacYA	[lacYA 361,140 &larr; 363,209]	-	lacYp	[lacYp NIL &larr; NIL]
yhhQ	[yhhQ 3,609,217 &rarr; 3,609,882]	+		
sokB	[sokB 1,492,119 &rarr; 1,492,175]	+	sokBp	[sokBp 1,492,119]
manXYZ	[manXYZ 1,901,840 &rarr; 1,904,746]	+	manXp	[manXp 1,901,933]
gmhA	[gmhA 243,543 &rarr; 244,121]	+		
yggE	[yggE 3,067,340 &larr; 3,068,185]	-	yggEp2	[yggEp2 3,068,185]
ygjH	[ygjH 3,220,915 &larr; 3,221,247]	-		
idnK	[idnK 4,494,476 &rarr; 4,495,186]	+	idnKp	[idnKp 4,494,597]
ydfABC-dicFB-ydfD	[ydfABC-dicFB-ydfD 1,648,508 &rarr; 1,649,985]	+		
ygiS	[ygiS 3,166,111 &larr; 3,167,718]	-		
tolC-ygiBC	[tolC-ygiBC 3,178,004 &rarr; 3,181,581]	+	tolCp1	[tolCp1 3,178,004]
yohO	[yohO 2,215,657 &rarr; 2,215,764]	+		
ydgH	[ydgH 1,678,427 &rarr; 1,679,371]	+		
yihW	[yihW 4,074,641 &rarr; 4,075,454]	+	csqRp	[csqRp 4,074,641]
csgC	[csgC 1,104,931 &rarr; 1,105,293]	+	csgCp	[csgCp NIL &rarr; NIL]
hemL	[hemL 173,602 &larr; 174,902]	-	hemLp1	[hemLp1 174,902]
hdeAB-yhiD	[hdeAB-yhiD 3,655,255 &larr; 3,656,791]	-	hdeAp2	[hdeAp2 3,656,791]
yjgL	[yjgL 4,475,437 &rarr; 4,477,251]	+		
folB	[folB 3,204,221 &larr; 3,204,589]	-		
dcuR	[dcuR 4,349,315 &larr; 4,350,565]	-	dcuRp	[dcuRp 4,350,565]
ycbZ	[ycbZ 1,016,539 &larr; 1,018,299]	-		
nohD	[nohD 580,834 &rarr; 581,379]	+		
ppdAB-ygdB-ppdC-recC	[ppdAB-ygdB-ppdC-recC 2,959,060 &larr; 2,964,220]	-	ppdAp	[ppdAp 2,964,220]
fepA-entD	[fepA-entD 609,459 &larr; 612,494]	-		
ydiK	[ydiK 1,769,074 &rarr; 1,770,186]	+		
metA	[metA 4,214,159 &rarr; 4,215,209]	+	metAp2	[metAp2 4,214,159]
clpS	[clpS 922,751 &rarr; 923,233]	+	clpSp	[clpSp 922,751]
yhcG	[yhcG 3,367,827 &rarr; 3,368,954]	+		
rprA	[rprA 1,770,372 &rarr; 1,770,477]	+	rprAp	[rprAp 1,770,372]
arcA	[arcA 4,639,539 &larr; 4,640,801]	-	arcAp7	[arcAp7 4,640,801]
allB	[allB 538,944 &rarr; 540,508]	+	allBp3	[allBp3 538,944]
nohA-stfQ-tfaQ	[nohA-stfQ-tfaQ 1,634,310 &larr; 1,636,603]	-	nohAp	[nohAp 1,636,603]
acnA	[acnA 1,335,740 &rarr; 1,338,506]	+	acnAp2	[acnAp2 1,335,781]
aroL-yaiA-aroM	[aroL-yaiA-aroM 406,355 &rarr; 408,105]	+	aroLp2	[aroLp2 406,355]
ycbC	[ycbC 972,622 &larr; 973,401]	-		
lgt	[lgt 2,965,066 &larr; 2,966,121]	-	lgtp	[lgtp 2,966,121]
pdeL	[pdeL 331,879 &rarr; 333,459]	+	pdeLp1	[pdeLp1 332,039]
rrlA-rrfA	[rrlA-rrfA 4,037,489 &rarr; 4,040,636]	+	rrlAp	[rrlAp NIL &rarr; NIL]
ygbE	[ygbE 2,873,014 &larr; 2,873,337]	-		
uspA	[uspA 3,640,000 &rarr; 3,640,591]	+	uspAp3	[uspAp3 3,640,000]
ppnP	[ppnP 408,148 &rarr; 408,461]	+	ppnPp	[ppnPp 408,148]
allDC-ylbA	[allDC-ylbA 543,261 &larr; 546,411]	-	allDp	[allDp 546,411]
msyB	[msyB 1,113,807 &larr; 1,114,213]	-	msyBp	[msyBp 1,114,213]
yeeP	[yeeP 2,070,786 &rarr; 2,071,211]	+		
fadR	[fadR 1,234,916 &rarr; 1,235,698]	+	fadRp2	[fadRp2 1,234,916]
yfbM	[yfbM 2,386,934 &rarr; 2,387,437]	+		
csgDEFG	[csgDEFG 1,100,851 &larr; 1,103,335]	-	csgDp	[csgDp 1,103,335]
narK	[narK 1,277,821 &rarr; 1,279,520]	+	narKp2	[narKp2 1,277,821]
rhsC-ybfB	[rhsC-ybfB 729,583 &rarr; 734,102]	+		
fliFGHIJK	[fliFGHIJK 2,013,205 &rarr; 2,019,513]	+	fliFp2	[fliFp2 2,013,205]
insC2D2CD2	[insC2D2CD2 1,467,921 &larr; 1,469,149]	-		
modEF	[modEF 792,316 &larr; 794,644]	-		
yraQ	[yraQ 3,297,098 &larr; 3,298,138]	-		
ybfOC	[ybfOC 734,220 &rarr; 736,219]	+		
atpBEFHAGDC	[atpBEFHAGDC 3,915,508 &larr; 3,922,134]	-	atpBp2	[atpBp2 3,922,134]
yjcO	[yjcO 4,296,436 &larr; 4,297,125]	-		
nagBACD	[nagBACD 699,574 &larr; 703,708]	-	nagBp	[nagBp 703,708]
ygaZH	[ygaZH 2,809,617 &rarr; 2,810,679]	+		
gabDTP	[gabDTP 2,790,912 &rarr; 2,795,653]	+	gabDp2	[gabDp2 2,790,912]
mltF	[mltF 2,695,767 &rarr; 2,697,357]	+	mltFp	[mltFp 2,695,767]
rlhA	[rlhA 1,506,781 &rarr; 1,508,742]	+		
fdhF	[fdhF 4,297,178 &larr; 4,299,407]	-	fdhFp	[fdhFp 4,299,407]
ydiL	[ydiL 1,770,615 &rarr; 1,770,971]	+		
aroP	[aroP 120,144 &larr; 121,671]	-	aroPp1	[aroPp1 121,671]
rsmD-yhhL	[rsmD-yhhL 3,604,393 &rarr; 3,605,248]	+		
yhjG	[yhjG 3,676,290 &larr; 3,678,412]	-	yhjGp	[yhjGp 3,678,412]
ryfA	[ryfA 2,653,855 &rarr; 2,654,158]	+		
rluB	[rluB 1,326,852 &rarr; 1,327,727]	+		
fsr	[fsr 503,476 &larr; 504,696]	-		
mltD	[mltD 232,597 &larr; 233,955]	-		
dksA-yadB	[dksA-yadB 159,186 &larr; 160,722]	-	dksAp1	[dksAp1 160,722]
uvrB	[uvrB 813,152 &rarr; 815,547]	+	uvrBp3	[uvrBp3 813,152]
hofQ	[hofQ 3,519,465 &larr; 3,520,703]	-		
talA-tktB	[talA-tktB 2,578,588 &rarr; 2,581,639]	+	talAp1	[talAp1 2,578,588]
ycgZ	[ycgZ 1,215,789 &rarr; 1,216,025]	+		
argF	[argF 289,301 &larr; 290,340]	-	argFp	[argFp 290,340]
glrK	[glrK 2,689,671 &larr; 2,691,123]	-	glrKp	[glrKp 2,691,123]
asr	[asr 1,671,297 &rarr; 1,671,720]	+	asrp2	[asrp2 1,671,327]
yadGH	[yadGH 142,779 &rarr; 144,472]	+		
pspF	[pspF 1,366,818 &larr; 1,368,040]	-	pspFp3	[pspFp3 1,368,040]
ydhP	[ydhP 1,736,121 &larr; 1,737,290]	-		
dfp	[dfp 3,812,703 &rarr; 3,813,951]	+	dfpp	[dfpp 3,812,703]
ribE-nusB-thiL-pgpA	[ribE-nusB-thiL-pgpA 434,504 &rarr; 437,107]	+	ribEp	[ribEp 434,504]
ygjR	[ygjR 3,237,282 &rarr; 3,238,297]	+	ygjRp	[ygjRp 3,237,282]
yegI	[yegI 2,149,039 &larr; 2,150,985]	-		
yneK	[yneK 1,615,763 &rarr; 1,616,878]	+		
xapR	[xapR 2,521,334 &larr; 2,522,505]	-	xapRp1	[xapRp1 2,522,505]
sokC	[sokC 16,952 &rarr; 17,010]	+	sokCp	[sokCp 16,952]
ompA	[ompA 1,019,013 &larr; 1,020,187]	-	ompAp2	[ompAp2 1,020,187]
safA-ydeO	[safA-ydeO 1,582,926 &larr; 1,584,028]	-	safAp	[safAp 1,584,028]
asflhD	[asflhD 1,978,176 &rarr; 1,978,395]	+	asflhDp	[asflhDp 1,978,176]
valS	[valS 4,480,932 &larr; 4,483,919]	-	valSp2	[valSp2 4,483,919]
nanA	[nanA 3,372,683 &larr; 3,373,620]	-	nanAp	[nanAp 3,373,620]
slyA	[slyA 1,720,390 &larr; 1,720,824]	-		
map-glnD-dapD	[map-glnD-dapD 185,123 &larr; 189,506]	-		
yiiS-uspD	[yiiS-uspD 4,112,869 &rarr; 4,113,721]	+	yiiSp	[yiiSp 4,112,869]
araE-ygeA	[araE-ygeA 2,979,943 &larr; 2,982,208]	-	araEp	[araEp 2,982,208]
ftsZ	[ftsZ 104,693 &rarr; 106,456]	+	ftsZp3	[ftsZp3 104,693]
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	[rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF 3,423,371 &larr; 3,429,047]	-	rrsDp1	[rrsDp1 3,429,047]
syd	[syd 2,924,735 &larr; 2,925,280]	-		
kup	[kup 3,931,265 &rarr; 3,933,184]	+	kupp3	[kupp3 3,931,265]
nemRA	[nemRA 1,726,021 &rarr; 1,727,756]	+	nemRp	[nemRp 1,726,021]
rrsA-ileT-alaT-rrlA-rrfA	[rrsA-ileT-alaT-rrlA-rrfA 4,035,106 &rarr; 4,040,636]	+	rrsAp	[rrsAp 4,035,239]
ybhA	[ybhA 797,613 &larr; 798,431]	-		
pqiABC	[pqiABC 1,011,659 &rarr; 1,015,459]	+	pqiAp	[pqiAp 1,011,659]
yafZ	[yafZ 267,184 &larr; 268,026]	-	yafZp	[yafZp 268,026]
bdcA	[bdcA 4,473,340 &larr; 4,474,064]	-	bdcAp	[bdcAp 4,474,064]
mazEF	[mazEF 2,910,756 &larr; 2,911,339]	-		
evgAS	[evgAS 2,483,521 &rarr; 2,487,967]	+	evgAp1	[evgAp1 2,483,641]
ybdF	[ybdF 605,518 &larr; 605,886]	-		
sraA	[sraA 458,728 &larr; 458,784]	-		
msrPQ	[msrPQ 2,039,478 &rarr; 2,041,118]	+		
cpxRA	[cpxRA 4,103,602 &larr; 4,105,686]	-	cpxRp2	[cpxRp2 4,105,686]
micF	[micF 2,312,964 &rarr; 2,313,176]	+	micFp1	[micFp1 2,313,084]
ybaL	[ybaL 501,562 &larr; 503,295]	-	ybaLp	[ybaLp 503,295]
pheLA	[pheLA 2,737,579 &rarr; 2,738,940]	+	pheLp	[pheLp 2,737,579]
ybdN	[ybdN 635,349 &larr; 636,686]	-	ybdNp	[ybdNp 636,686]
ycaI-msbA-lpxK-ycaQ	[ycaI-msbA-lpxK-ycaQ 964,320 &rarr; 970,621]	+		
nuoABCEFGHIJKLMN	[nuoABCEFGHIJKLMN 2,390,005 &larr; 2,405,162]	-	nuoAp2	[nuoAp2 2,405,162]
yegX	[yegX 2,182,833 &larr; 2,183,651]	-		
yicG	[yicG 3,818,874 &rarr; 3,819,491]	+		
wzbc	[wzbc 2,133,490 &larr; 2,137,243]	-	wzap2	[wzap2 2,137,193]
xanP	[xanP 3,828,945 &rarr; 3,830,336]	+		
yihV-csqR	[yihV-csqR 4,073,712 &rarr; 4,075,454]	+	yihVp1	[yihVp1 4,073,712]
carB	[carB 30,775 &rarr; 34,038]	+	carBp	[carBp 30,775]
ybfP	[ybfP 715,412 &rarr; 715,906]	+		
uspC	[uspC 1,979,753 &rarr; 1,980,181]	+		
pyrLBI	[pyrLBI 4,470,986 &larr; 4,472,745]	-	pyrLp1	[pyrLp1 4,472,745]
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	[ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 90,688 &rarr; 107,474]	+	ftsLp1	[ftsLp1 90,688]
ybhD	[ybhD 799,622 &larr; 800,575]	-		
pstSCA	[pstSCA 3,908,495 &larr; 3,911,568]	-	pstSp	[pstSp 3,911,568]
dps	[dps 848,408 &larr; 848,950]	-	dpsp	[dpsp 848,950]
emrKY	[emrKY 2,480,638 &larr; 2,483,448]	-	emrKp	[emrKp 2,483,448]
trpLEDCBA	[trpLEDCBA 1,316,383 &larr; 1,323,108]	-	trpLp	[trpLp 1,323,108]
uxaB	[uxaB 1,609,229 &larr; 1,610,680]	-		
rcsA	[rcsA 2,023,664 &rarr; 2,024,591]	+	rcsAp	[rcsAp 2,023,836]
gnsA	[gnsA 1,052,004 &rarr; 1,052,240]	+	gnsAp1	[gnsAp1 1,052,004]
ecpBCDE	[ecpBCDE 304,495 &larr; 310,119]	-	ecpBp1	[ecpBp1 310,119]
katG	[katG 4,133,699 &rarr; 4,136,015]	+	katGp	[katGp 4,133,812]
mnmE	[mnmE 3,886,828 &rarr; 3,888,192]	+		
yiiR	[yiiR 4,112,315 &rarr; 4,112,755]	+		
lafU	[lafU 250,072 &rarr; 250,827]	+		
yebE	[yebE 1,929,048 &larr; 1,929,732]	-	yebEp	[yebEp 1,929,732]
leuU	[leuU 3,322,072 &larr; 3,322,278]	-	leuUp	[leuUp 3,322,278]
cueR	[cueR 513,993 &rarr; 514,400]	+		
bglA	[bglA 3,043,662 &rarr; 3,045,101]	+		
ydiJ-menI-ydiH	[ydiJ-menI-ydiH 1,764,934 &larr; 1,768,685]	-		
serS	[serS 939,365 &rarr; 940,765]	+	serSp	[serSp 939,365]
degS	[degS 3,382,173 &rarr; 3,383,316]	+	degSp	[degSp 3,382,173]
feaR	[feaR 1,446,378 &larr; 1,447,349]	-	feaRp1	[feaRp1 1,447,349]
ybgIJKL-nei	[ybgIJKL-nei 742,798 &rarr; 746,726]	+	ybgIp2	[ybgIp2 742,798]
yhfK	[yhfK 3,486,761 &rarr; 3,488,893]	+	yhfKp	[yhfKp NIL &rarr; NIL]
agrB	[agrB 3,648,294 &rarr; 3,648,375]	+	agrBp	[agrBp 3,648,294]
ypdI	[ypdI 2,494,698 &rarr; 2,494,973]	+		
malEFGH	[malEFGH 4,242,531 &larr; 4,246,464]	-	malEp	[malEp 4,246,464]
uxaCA	[uxaCA 3,241,827 &larr; 3,244,857]	-	uxaCp2	[uxaCp2 3,244,857]
cbpA-cbpM	[cbpA-cbpM 1,062,550 &larr; 1,063,919]	-	cbpAp4	[cbpAp4 1,063,919]
ymfJ	[ymfJ 1,201,776 &larr; 1,202,084]	-		
feaB	[feaB 1,447,428 &rarr; 1,449,063]	+	feaBp1	[feaBp1 1,447,492]
tesB	[tesB 474,301 &larr; 475,201]	-	tesBp	[tesBp 475,201]
accD	[accD 2,432,963 &larr; 2,434,015]	-	accDp	[accDp 2,434,015]
topA	[topA 1,330,724 &rarr; 1,333,645]	+	topAp1	[topAp1 1,330,980]
tyrS-pdxY	[tyrS-pdxY 1,715,026 &larr; 1,717,283]	-	tyrSp2	[tyrSp2 1,717,283]
yaaU	[yaaU 45,592 &rarr; 47,138]	+	yaaUp	[yaaUp 45,592]
xseA	[xseA 2,634,197 &rarr; 2,635,602]	+	xseAp	[xseAp 2,634,197]
aroM	[aroM 407,400 &rarr; 408,105]	+	aroMp	[aroMp 407,400]
cdgI	[cdgI 1,870,385 &rarr; 1,871,860]	+		
ygeQ	[ygeQ 2,998,034 &larr; 2,998,828]	-		
leuLABCD	[leuLABCD 78,848 &larr; 84,024]	-	leuLp2	[leuLp2 84,024]
gapA	[gapA 1,862,691 &rarr; 1,863,766]	+	gapAp	[gapAp 1,862,735]
rsmB	[rsmB 3,435,207 &rarr; 3,436,496]	+		
caiCDE	[caiCDE 34,781 &larr; 37,854]	-	caiCp	[caiCp NIL &larr; NIL]
micL	[micL 1,958,441 &larr; 1,958,747]	-	micLp1	[micLp1 1,958,747]
intF	[intF 295,696 &larr; 297,096]	-		
ymfH-xisE-intE	[ymfH-xisE-intE 1,199,679 &larr; 1,201,380]	-		
rsuA	[rsuA 2,279,788 &larr; 2,280,483]	-		
ppsA	[ppsA 1,784,734 &larr; 1,787,161]	-	ppsAp	[ppsAp 1,787,161]
idi	[idi 3,033,065 &rarr; 3,033,613]	+		
chaC	[chaC 1,272,422 &rarr; 1,273,202]	+	chaCp	[chaCp 1,272,422]
argE	[argE 4,153,696 &larr; 4,155,078]	-	argEp2	[argEp2 4,155,078]
gapA	[gapA 1,862,691 &rarr; 1,863,766]	+	gapAp1	[gapAp1 1,862,735]
lptFG	[lptFG 4,486,218 &rarr; 4,488,400]	+		
ghoST	[ghoST 4,352,549 &rarr; 4,353,081]	+	ghoSp	[ghoSp 4,352,549]
amiC	[amiC 2,947,757 &larr; 2,949,010]	-		
yfiM	[yfiM 2,724,128 &rarr; 2,724,451]	+		
mglBAC	[mglBAC 2,236,743 &larr; 2,240,566]	-	mglBp2	[mglBp2 2,240,566]
yhaJ	[yhaJ 3,253,318 &larr; 3,254,214]	-		
mdh	[mdh 3,383,330 &larr; 3,384,313]	-	mdhp1	[mdhp1 3,384,313]
kdgT	[kdgT 4,101,690 &rarr; 4,102,673]	+		
yobA-yebZY	[yobA-yebZY 1,923,365 &larr; 1,924,969]	-		
trkG	[trkG 1,423,782 &rarr; 1,425,239]	+		
mfd	[mfd 1,170,518 &larr; 1,174,028]	-	mfdp1	[mfdp1 1,174,028]
yggG	[yggG 3,081,892 &rarr; 3,082,671]	+	loiPp	[loiPp 3,081,892]
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ	[rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ 3,448,267 &larr; 3,453,442]	-	rpsJp	[rpsJp 3,453,442]
talB	[talB 8,191 &rarr; 9,226]	+	talBp	[talBp 8,191]
yihG	[yihG 4,045,670 &larr; 4,046,652]	-	yihGp	[yihGp 4,046,652]
asnU	[asnU 2,059,845 &rarr; 2,059,966]	+	asnUp	[asnUp 2,059,845]
ybiYW	[ybiYW 860,174 &larr; 863,511]	-		
yceD-rpmF	[yceD-rpmF 1,146,649 &rarr; 1,147,540]	+	yceDp1	[yceDp1 1,146,649]
fepA-entD	[fepA-entD 609,459 &larr; 612,667]	-	fepAp	[fepAp 612,667]
mdtEF	[mdtEF 3,659,140 &rarr; 3,663,527]	+	mdtEp2	[mdtEp2 3,659,140]
yqaE-kbp	[yqaE-kbp 2,796,337 &larr; 2,797,085]	-	yqaEp	[yqaEp 2,797,085]
epd-pgk	[epd-pgk 3,071,431 &larr; 3,073,823]	-	epdp	[epdp 3,073,823]
nudK	[nudK 2,582,903 &larr; 2,583,478]	-		
rpoBC	[rpoBC 4,181,063 &rarr; 4,189,613]	+	rpoBp	[rpoBp 4,181,063]
fepDGC	[fepDGC 619,384 &larr; 622,192]	-	fepDp2	[fepDp2 622,192]
ilvY	[ilvY 3,956,883 &larr; 3,957,867]	-	ilvYp1	[ilvYp1 3,957,867]
yghT	[yghT 3,134,131 &rarr; 3,134,823]	+		
talA	[talA 2,578,608 &rarr; 2,579,616]	+	talAp	[talAp 2,578,608]
yecH	[yecH 1,989,251 &larr; 1,989,490]	-		
fliDST	[fliDST 2,003,762 &rarr; 2,006,165]	+	fliDp2	[fliDp2 2,003,817]
hslJ	[hslJ 1,441,321 &larr; 1,441,780]	-	hslJp	[hslJp 1,441,780]
prpBCDE	[prpBCDE 348,498 &rarr; 354,592]	+	prpBp	[prpBp 348,646]
tomB-hha	[tomB-hha 480,090 &larr; 480,794]	-	tomBp	[tomBp 480,794]
gnsA	[gnsA 1,051,999 &rarr; 1,052,240]	+	gnsAp2	[gnsAp2 1,051,999]
yahB	[yahB 333,501 &larr; 334,433]	-		
yefM-yoeB	[yefM-yoeB 2,089,211 &larr; 2,089,733]	-	yefMp	[yefMp 2,089,733]
yagAB-insX	[yagAB-insX 280,114 &larr; 281,983]	-		
yncL	[yncL 1,517,099 &larr; 1,517,194]	-		
dcrB	[dcrB 3,609,955 &rarr; 3,610,512]	+		
mtlADR	[mtlADR 3,771,926 &rarr; 3,776,419]	+	mtlAp	[mtlAp 3,772,188]
glmY	[glmY 2,691,157 &larr; 2,691,340]	-	glmYp1	[glmYp1 2,691,340]
slp-dctR	[slp-dctR 3,653,936 &rarr; 3,655,213]	+	slpp	[slpp 3,653,936]
cbpA-cbpM	[cbpA-cbpM 1,062,550 &larr; 1,064,037]	-	cbpAp	[cbpAp 1,064,037]
cbrA	[cbrA 3,869,377 &rarr; 3,870,441]	+		
ycjMNOPQRSTUV-ymjB-ompG	[ycjMNOPQRSTUV-ymjB-ompG 1,370,216 &rarr; 1,382,852]	+		
dgkA	[dgkA 4,256,457 &rarr; 4,257,005]	+	dgkAp1	[dgkAp1 4,256,457]
ysaB	[ysaB 3,725,413 &larr; 3,725,712]	-		
epd-pgk	[epd-pgk 3,071,431 &larr; 3,073,823]	-	epdp2	[epdp2 3,073,823]
pflB	[pflB 951,207 &larr; 953,925]	-	pflBp5	[pflBp5 953,925]
ycdZ	[ycdZ 1,100,252 &rarr; 1,100,787]	+	ycdZp4	[ycdZp4 1,100,252]
treF	[treF 3,669,551 &rarr; 3,671,241]	+	treFp	[treFp 3,669,551]
kefFC	[kefFC 47,246 &rarr; 49,631]	+		
kdsC-lptCAB	[kdsC-lptCAB 3,342,226 &rarr; 3,344,669]	+	kdsCp1	[kdsCp1 3,342,226]
aslB	[aslB 3,982,781 &rarr; 3,984,193]	+	aslBp	[aslBp 3,982,781]
ybgA-phr	[ybgA-phr 738,920 &rarr; 740,925]	+	ybgAp2	[ybgAp2 738,920]
narGHJI	[narGHJI 1,279,599 &rarr; 1,286,579]	+	narGp	[narGp 1,279,807]
yifK	[yifK 3,980,887 &rarr; 3,982,272]	+		
dut-slmA	[dut-slmA 3,813,852 &rarr; 3,815,090]	+	dutp	[dutp 3,813,852]
cbpAM	[cbpAM 1,062,550 &larr; 1,063,828]	-	cbpAp2	[cbpAp2 1,063,828]
gadEF	[gadEF 3,657,800 &rarr; 3,659,082]	+	gadEp3	[gadEp3 3,657,800]
dnaKJ	[dnaKJ 12,144 &rarr; 15,298]	+	dnaKp3	[dnaKp3 12,144]
sdaA	[sdaA 1,896,809 &rarr; 1,898,331]	+	sdaAp	[sdaAp 1,896,809]
yhdV	[yhdV 3,418,390 &rarr; 3,418,611]	+		
yhbW	[yhbW 3,303,448 &rarr; 3,304,455]	+		
ybeD-lipB	[ybeD-lipB 661,637 &larr; 662,706]	-	ybeDp2	[ybeDp2 662,706]
glpD	[glpD 3,561,907 &rarr; 3,563,518]	+	glpDp	[glpDp 3,561,971]
yeaE	[yeaE 1,864,782 &larr; 1,865,724]	-	yeaEp	[yeaEp 1,865,724]
pcnB-folk	[pcnB-folk 157,253 &larr; 159,391]	-	pcnBp4	[pcnBp4 159,391]
ompN	[ompN 1,435,760 &larr; 1,437,013]	-	ompNp	[ompNp 1,437,013]
kdsC-lptCAB	[kdsC-lptCAB 3,342,010 &rarr; 3,344,669]	+	kdsCp2	[kdsCp2 3,342,010]
thrU-tyrU-glyT-thrT-tufB	[thrU-tyrU-glyT-thrT-tufB 4,175,258 &rarr; 4,177,185]	+	thrUp	[thrUp 4,175,381]
ompR-envZ	[ompR-envZ 3,534,473 &larr; 3,536,685]	-	ompRp2	[ompRp2 3,536,685]
acnA	[acnA 1,335,424 &rarr; 1,338,506]	+	acnAp1	[acnAp1 1,335,424]
ahpCF	[ahpCF 638,877 &rarr; 641,318]	+	ahpCp1	[ahpCp1 638,921]
chiZPQ	[chiZPQ 708,236 &rarr; 710,116]	+	chiZp	[chiZp 708,236]
ycgR	[ycgR 1,243,793 &larr; 1,244,556]	-	ycgRp	[ycgRp 1,244,556]
ppiA	[ppiA 3,491,725 &larr; 3,492,395]	-	ppiAp2	[ppiAp2 3,492,395]
elbB-mtgA	[elbB-mtgA 3,349,081 &larr; 3,350,459]	-		
bcr	[bcr 2,278,570 &larr; 2,279,760]	-		
hinT-ycfL-lpoB-thiK-nagZ-ycfP	[hinT-ycfL-lpoB-thiK-nagZ-ycfP 1,161,885 &rarr; 1,165,685]	+		
rpoH	[rpoH 3,599,887 &larr; 3,600,849]	-	rpoHp5	[rpoHp5 3,600,849]
ygeX	[ygeX 3,007,510 &rarr; 3,008,706]	+		
insMI3	[insMI3 4,507,466 &larr; 4,508,942]	-		
pstSCAB-phoU	[pstSCAB-phoU 3,906,853 &larr; 3,911,568]	-	pstSp	[pstSp 3,911,568]
