Transcription-Units	Sequence - coordinates of DNA region	Direction	Transcription units - promoter of operon	Sequence - coordinates of DNA region of promoter	Genes of transcription unit
yfgA	[yfgA 2,641,831 &larr; 2,642,844]	-			rodZ
hdeAB-yhiD	[hdeAB-yhiD 3,655,255 &larr; 3,656,791]	-	hdeAp2	[hdeAp2 3,656,791]	yhiD // hdeB // hdeA
yghA	[yghA 3,149,662 &rarr; 3,150,546]	+			yghA
appY	[appY 583,656 &rarr; 584,430]	+	appYp2	[appYp2 583,656]	appY
yaiY	[yaiY 399,025 &larr; 399,333]	-			yaiY
talA-tktB	[talA-tktB 2,578,588 &rarr; 2,581,639]	+	talAp1	[talAp1 2,578,588]	tktB // talA
efeOB	[efeOB 1,082,243 &rarr; 1,084,647]	+			efeB // efeO
rfaDFCL	[rfaDFCL 3,793,865 &rarr; 3,798,207]	+	rfaDp3	[rfaDp3 3,793,865]	rfaD // waaF // waaC // waaL
clpA	[clpA 923,080 &rarr; 925,540]	+	clpAp1	[clpAp1 923,080]	clpA
queF	[queF 2,925,321 &rarr; 2,926,196]	+	queFp	[queFp 2,925,321]	queF
rrlA-rrfA	[rrlA-rrfA 4,037,489 &rarr; 4,040,636]	+	rrlAp	[rrlAp NIL &rarr; NIL]	rrfA // rrlA
yjjK	[yjjK 4,628,855 &larr; 4,630,522]	-			ettA
ytfE	[ytfE 4,431,321 &larr; 4,432,009]	-	ytfEp	[ytfEp 4,432,009]	ytfE
araBAD	[araBAD 65,800 &larr; 70,075]	-	araBp	[araBp 70,075]	araD // araA // araB
asnA	[asnA 3,927,019 &rarr; 3,928,147]	+	asnAp	[asnAp 3,927,129]	asnA
norR	[norR 2,830,775 &larr; 2,832,289]	-			norR
dicB-ydfDE-insD-intQ	[dicB-ydfDE-insD-intQ 1,649,597 &rarr; 1,652,708]	+	dicBp	[dicBp 1,649,597]	intQ // insD7 // ydfE // ydfD // dicB
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	[ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC 90,688 &rarr; 107,474]	+	ftsLp1	[ftsLp1 90,688]	lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL
nohA-stfQ-tfaQ	[nohA-stfQ-tfaQ 1,634,310 &larr; 1,636,603]	-	nohAp	[nohAp 1,636,603]	tfaQ // stfQ // nohA
oppA	[oppA 1,300,916 &rarr; 1,302,813]	+	oppAp2	[oppAp2 1,300,916]	oppA
yjeNO	[yjeNO 4,385,393 &rarr; 4,386,018]	+			yjeO // yjeN
napFDAGHBC-ccmABCDEFGH	[napFDAGHBC-ccmABCDEFGH 2,291,358 &larr; 2,303,577]	-	napFp2	[napFp2 2,303,577]	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF
arcA	[arcA 4,639,539 &larr; 4,640,512]	-	arcAp2	[arcAp2 4,640,512]	arcA
fabR-yijD	[fabR-yijD 4,161,067 &rarr; 4,162,130]	+			yijD // fabR
gapA	[gapA 1,862,240 &rarr; 1,863,766]	+	gapAp7	[gapAp7 1,862,240]	gapA
secG-leuU	[secG-leuU 3,322,035 &larr; 3,322,590]	-	secGp2	[secGp2 3,322,590]	leuU // secG
ecpBCDE	[ecpBCDE 304,495 &larr; 310,119]	-	ecpBp1	[ecpBp1 310,119]	ecpB // ecpC // ecpD // ecpE
yjgZ	[yjgZ 4,501,260 &rarr; 4,501,589]	+			yjgZ
deaD	[deaD 3,305,971 &larr; 3,307,860]	-			deaD
rpnA	[rpnA 3,543,167 &rarr; 3,544,045]	+			rpnA
yjcO	[yjcO 4,296,436 &larr; 4,297,125]	-			yjcO
tyrP	[tyrP 1,989,580 &rarr; 1,990,892]	+	tyrPp1	[tyrPp1 1,989,645]	tyrP
mdtL	[mdtL 3,891,615 &rarr; 3,892,790]	+			mdtL
fsr	[fsr 503,476 &larr; 504,696]	-			fsr
yabI	[yabI 71,271 &rarr; 72,115]	+	yabIp	[yabIp 71,271]	yabI
mnmE	[mnmE 3,886,828 &rarr; 3,888,192]	+			mnmE
intD	[intD 564,815 &larr; 565,978]	-			intD
dmsABC	[dmsABC 940,856 &rarr; 944,896]	+	dmsAp2	[dmsAp2 940,878]	dmsC // dmsB // dmsA
dapD	[dapD 185,090 &larr; 185,977]	-	dapDp	[dapDp 185,977]	dapD
rseD-rpoE-rseABC	[rseD-rpoE-rseABC 2,707,322 &larr; 2,710,186]	-	rseDp4	[rseDp4 2,710,186]	rseD // rseC // rseB // rseA // rpoE
yahC	[yahC 334,525 &larr; 335,022]	-			yahC
ompA	[ompA 1,019,013 &larr; 1,020,191]	-	ompAp1	[ompAp1 1,020,191]	ompA
yegI	[yegI 2,149,039 &larr; 2,150,985]	-			yegI
ybaL	[ybaL 501,562 &larr; 503,295]	-	ybaLp	[ybaLp 503,295]	ybaL
rlhA	[rlhA 1,506,781 &rarr; 1,508,742]	+			rlhA
rluB	[rluB 1,326,852 &rarr; 1,327,727]	+			rluB
gpmA	[gpmA 786,843 &larr; 787,670]	-	gpmAp3	[gpmAp3 787,670]	gpmA
ydiK	[ydiK 1,769,074 &rarr; 1,770,186]	+			ydiK
aidB	[aidB 4,414,193 &rarr; 4,415,900]	+	aidBp1	[aidBp1 4,414,247]	aidB
rcsA	[rcsA 2,023,664 &rarr; 2,024,591]	+	rcsAp	[rcsAp 2,023,836]	rcsA
yhjB	[yhjB 3,671,292 &larr; 3,671,894]	-			yhjB
metA	[metA 4,214,159 &rarr; 4,215,209]	+	metAp2	[metAp2 4,214,159]	metA
glpQ	[glpQ 2,349,935 &larr; 2,351,124]	-	glpQp	[glpQp 2,351,124]	glpQ
nudI	[nudI 2,364,554 &rarr; 2,364,979]	+			nudI
hisS	[hisS 2,639,301 &larr; 2,640,642]	-	hisSp	[hisSp 2,640,642]	hisS
glgCAP	[glgCAP 3,564,082 &larr; 3,569,571]	-	glgCp3	[glgCp3 3,569,571]	glgP // glgA // glgC
ykgH	[ykgH 324,696 &larr; 325,364]	-			ykgH
yeiQ	[yeiQ 2,266,245 &rarr; 2,267,711]	+			yeiQ
yieP-hsrA	[yieP-hsrA 3,939,185 &larr; 3,941,327]	-			yieP // hsrA
leuS-lptE-holA-nadD-cobC	[leuS-lptE-holA-nadD-cobC 669,296 &larr; 674,783]	-			leuS // lptE // holA // nadD // cobC
sdaCB	[sdaCB 2,928,229 &rarr; 2,930,943]	+			sdaC // sdaB
nfo	[nfo 2,250,767 &rarr; 2,251,697]	+	nfop	[nfop 2,250,806]	nfo
ppdAB-ygdB-ppdC-recC	[ppdAB-ygdB-ppdC-recC 2,959,060 &larr; 2,964,220]	-	ppdAp	[ppdAp 2,964,220]	ppdA // ppdB // ygdB // ppdC // recC
mazEF	[mazEF 2,910,756 &larr; 2,911,339]	-			mazF // mazE
ybjQ-amiD	[ybjQ-amiD 904,517 &rarr; 905,743]	+	ybjQp	[ybjQp 904,517]	amiD // ybjQ
uxaB	[uxaB 1,609,229 &larr; 1,610,680]	-			uxaB
pheLA	[pheLA 2,737,579 &rarr; 2,738,940]	+	pheLp	[pheLp 2,737,579]	pheA // pheL
degS	[degS 3,382,173 &rarr; 3,383,316]	+	degSp	[degSp 3,382,173]	degS
pyrLBI	[pyrLBI 4,470,986 &larr; 4,472,745]	-	pyrLp1	[pyrLp1 4,472,745]	pyrL // pyrI // pyrB
alaE	[alaE 2,799,084 &rarr; 2,799,613]	+	alaEp	[alaEp 2,799,084]	alaE
hofQ	[hofQ 3,519,465 &larr; 3,520,703]	-			hofQ
yafNOP	[yafNOP 251,969 &rarr; 253,161]	+	yafNp	[yafNp 251,969]	yafP // yafO // yafN
bluF	[bluF 1,214,264 &larr; 1,215,506]	-	bluFp	[bluFp 1,215,506]	bluF
nhaR	[nhaR 18,715 &rarr; 19,620]	+			nhaR
gntT	[gntT 3,546,333 &rarr; 3,547,875]	+	gntTp3	[gntTp3 3,546,449]	gntT
syd	[syd 2,924,735 &larr; 2,925,280]	-			syd
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	[rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF 3,423,371 &larr; 3,429,047]	-	rrsDp	[rrsDp 3,429,047]	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD
ubiG	[ubiG 2,339,539 &rarr; 2,340,289]	+	ubiGp	[ubiGp 2,339,539]	ubiG
rnpB	[rnpB 3,269,962 &larr; 3,270,592]	-	rnpBp	[rnpBp 3,270,592]	rnpB
xanP	[xanP 3,828,945 &rarr; 3,830,336]	+			xanP
ivbL	[ivbL 3,852,835 &larr; 3,853,023]	-	ivbLp	[ivbLp 3,853,023]	ivbL
pykA	[pykA 1,937,544 &rarr; 1,939,091]	+	pykAp1	[pykAp1 1,937,544]	pykA
ybdF	[ybdF 605,518 &larr; 605,886]	-			ybdF
ynjI	[ynjI 1,843,831 &larr; 1,844,900]	-	ynjIp	[ynjIp 1,844,900]	ynjI
ynfP	[ynfP 1,652,728 &larr; 1,652,838]	-			ynfP
ppnP	[ppnP 408,148 &rarr; 408,461]	+	ppnPp	[ppnPp 408,148]	ppnP
msyB	[msyB 1,113,807 &larr; 1,114,213]	-	msyBp	[msyBp 1,114,213]	msyB
asr	[asr 1,671,297 &rarr; 1,671,720]	+	asrp2	[asrp2 1,671,327]	asr
aroP	[aroP 120,144 &larr; 121,671]	-	aroPp1	[aroPp1 121,671]	aroP
ygeR	[ygeR 2,999,136 &larr; 2,999,891]	-			actS
nohD	[nohD 580,834 &rarr; 581,379]	+			nohD
micF	[micF 2,312,964 &rarr; 2,313,176]	+	micFp1	[micFp1 2,313,084]	micF
narP	[narP 2,290,422 &rarr; 2,291,147]	+	narPp	[narPp 2,290,422]	narP
yeeP	[yeeP 2,070,786 &rarr; 2,071,211]	+			yeeP
yfjXY-ypjJ-yfjZ-ypjF	[yfjXY-ypjJ-yfjZ-ypjF 2,775,919 &rarr; 2,777,782]	+			ypjF // yfjZ // ypjJ // yfjY // yfjX
lacYA	[lacYA 361,140 &larr; 363,209]	-	lacYp	[lacYp NIL &larr; NIL]	lacA // lacY
bssS	[bssS 1,120,701 &larr; 1,121,058]	-	bssSp1	[bssSp1 1,121,058]	bssS
hokB	[hokB 1,491,922 &larr; 1,492,071]	-			hokB
cvpA-purF-ubiX	[cvpA-purF-ubiX 2,428,030 &larr; 2,430,800]	-	cvpAp1	[cvpAp1 2,430,800]	ubiX // purF // cvpA
chiA	[chiA 3,467,160 &larr; 3,469,896]	-	chiAp	[chiAp 3,469,896]	chiA
rpsA-ihfB	[rpsA-ihfB 961,717 &rarr; 964,173]	+	rpsAp1	[rpsAp1 961,717]	ihfB // rpsA
emrKY	[emrKY 2,480,638 &larr; 2,483,448]	-	emrKp	[emrKp 2,483,448]	emrY // emrK
mepS	[mepS 2,269,920 &rarr; 2,270,545]	+	mepSp1	[mepSp1 2,269,920]	mepS
yicC	[yicC 3,816,645 &rarr; 3,817,603]	+	yicCp	[yicCp 3,816,645]	yicC
dfp	[dfp 3,812,703 &rarr; 3,813,951]	+	dfpp	[dfpp 3,812,703]	dfp
yceI	[yceI 1,117,901 &larr; 1,118,476]	-			yceI
mlc-ynfK	[mlc-ynfK 1,666,524 &larr; 1,668,591]	-	mlcp	[mlcp 1,668,591]	bidA // mlc
asd	[asd 3,573,775 &larr; 3,574,878]	-			asd
safA-ydeO	[safA-ydeO 1,582,926 &larr; 1,584,028]	-	safAp	[safAp 1,584,028]	ydeO // safA
insG	[insG 4,502,103 &larr; 4,503,431]	-			insG
yphG	[yphG 2,679,464 &larr; 2,682,745]	-			yphG
mlc	[mlc 1,667,344 &larr; 1,668,603]	-	mlcp1	[mlcp1 1,668,603]	mlc
lafU	[lafU 250,072 &rarr; 250,827]	+			lafU
yqjG	[yqjG 3,251,024 &rarr; 3,252,010]	+			yqjG
zinT	[zinT 2,041,346 &rarr; 2,042,025]	+	zinTp	[zinTp 2,041,346]	zinT
sokC	[sokC 16,952 &rarr; 17,010]	+	sokCp	[sokCp 16,952]	sokC
gpmM-envC-yibQ	[gpmM-envC-yibQ 3,785,187 &rarr; 3,789,060]	+	gpmMp2	[gpmMp2 3,785,187]	yibQ // envC // gpmM
treR	[treR 4,466,284 &larr; 4,467,279]	-	treRp3	[treRp3 4,467,279]	treR
pqiABC	[pqiABC 1,011,659 &rarr; 1,015,459]	+	pqiAp	[pqiAp 1,011,659]	pqiC // pqiB // pqiA
ycgY	[ycgY 1,245,160 &rarr; 1,245,600]	+			ycgY
hmp	[hmp 2,685,797 &rarr; 2,687,025]	+	hmpp	[hmpp 2,685,797]	hmp
bdcA	[bdcA 4,473,340 &larr; 4,474,064]	-	bdcAp	[bdcAp 4,474,064]	bdcA
pldA	[pldA 4,004,814 &rarr; 4,005,836]	+	pldAp	[pldAp 4,004,814]	pldA
allB	[allB 538,944 &rarr; 540,508]	+	allBp3	[allBp3 538,944]	allB
yhhQ	[yhhQ 3,609,217 &rarr; 3,609,882]	+			yhhQ
yccE	[yccE 1,064,006 &rarr; 1,065,292]	+	yccEp	[yccEp NIL &rarr; NIL]	yccE
uspC	[uspC 1,979,753 &rarr; 1,980,181]	+			uspC
ybiO	[ybiO 843,255 &larr; 845,480]	-			ybiO
fadR	[fadR 1,234,916 &rarr; 1,235,698]	+	fadRp2	[fadRp2 1,234,916]	fadR
clpA	[clpA 923,210 &rarr; 925,540]	+	clpAp3	[clpAp3 923,210]	clpA
glk	[glk 2,508,424 &larr; 2,509,447]	-	glkp3	[glkp3 2,509,447]	glk
paoABCD	[paoABCD 297,770 &larr; 302,573]	-			paoA // paoB // paoC // paoD
rsmD-yhhL	[rsmD-yhhL 3,604,393 &rarr; 3,605,248]	+			yhhL // rsmD
yihW	[yihW 4,074,641 &rarr; 4,075,454]	+	csqRp	[csqRp 4,074,641]	csqR
ptrA	[ptrA 2,955,996 &larr; 2,959,011]	-	ptrAp	[ptrAp 2,959,011]	ptrA
ulaG	[ulaG 4,418,561 &larr; 4,419,675]	-	ulaGp	[ulaGp 4,419,675]	ulaG
insC2D2CD2	[insC2D2CD2 1,467,921 &larr; 1,469,149]	-			insC2 // insD2 // insCD2
yibA	[yibA 3,766,307 &rarr; 3,767,179]	+	yibAp	[yibAp NIL &rarr; NIL]	yibA
asflhD	[asflhD 1,978,176 &rarr; 1,978,395]	+	asflhDp	[asflhDp 1,978,176]	asflhD
allDC-ylbA	[allDC-ylbA 543,261 &larr; 546,411]	-	allDp	[allDp 546,411]	allE // allC // allD
yjgL	[yjgL 4,475,437 &rarr; 4,477,251]	+			yjgL
ydiL	[ydiL 1,770,615 &rarr; 1,770,971]	+			ydiL
tynA	[tynA 1,449,076 &larr; 1,451,409]	-	tynAp	[tynAp 1,451,409]	tynA
pta	[pta 2,414,486 &rarr; 2,416,891]	+	ptap	[ptap 2,414,486]	pta
yfaE	[yfaE 2,348,514 &rarr; 2,348,768]	+			yfaE
ybaA	[ybaA 476,672 &rarr; 477,025]	+			ybaA
modEF	[modEF 792,316 &larr; 794,644]	-			modE // modF
ygjR	[ygjR 3,237,282 &rarr; 3,238,297]	+	ygjRp	[ygjRp 3,237,282]	ygjR
ecpA	[ecpA 310,084 &larr; 310,797]	-	ecpAp	[ecpAp 310,797]	ecpA
ypjD	[ypjD 2,747,962 &rarr; 2,748,753]	+			ypjD
mhpABCDFE	[mhpABCDFE 368,423 &rarr; 374,881]	+	mhpAp	[mhpAp 368,519]	mhpF // mhpE // mhpD // mhpC // mhpB // mhpA
yidHGF	[yidHGF 3,855,114 &larr; 3,856,307]	-			yidH // yidG // yidF
rsmE-gshB	[rsmE-gshB 3,091,134 &rarr; 3,092,828]	+			gshB // rsmE
pstSCA	[pstSCA 3,908,495 &larr; 3,911,568]	-	pstSp	[pstSp 3,911,568]	pstA // pstC // pstS
htpG	[htpG 495,084 &rarr; 497,029]	+	htpGp2	[htpGp2 495,084]	htpG
yaiX	[yaiX 380,844 &larr; 382,872]	-			yaiX
yhbQ	[yhbQ 3,299,966 &rarr; 3,300,268]	+			yhbQ
acnA	[acnA 1,335,740 &rarr; 1,338,506]	+	acnAp2	[acnAp2 1,335,781]	acnA
glnAZ	[glnAZ 4,055,990 &larr; 4,058,222]	-	glnAp1	[glnAp1 4,058,222]	glnZ // glnA
yihV-csqR	[yihV-csqR 4,073,712 &rarr; 4,075,454]	+	yihVp1	[yihVp1 4,073,712]	csqR // yihV
hupB	[hupB 461,305 &rarr; 461,778]	+	hupBp4	[hupBp4 461,305]	hupB
metJ	[metJ 4,128,078 &larr; 4,128,529]	-	metJp2	[metJp2 4,128,529]	metJ
sokB	[sokB 1,492,119 &rarr; 1,492,175]	+	sokBp	[sokBp 1,492,119]	sokB
intB	[intB 4,496,750 &rarr; 4,497,940]	+			intB
rbsDACBKR	[rbsDACBKR 3,933,259 &rarr; 3,939,219]	+	rbsDp	[rbsDp 3,933,322]	rbsR // rbsD // rbsA // rbsC // rbsB // rbsK
adhE	[adhE 1,295,446 &larr; 1,298,309]	-	adhEp2	[adhEp2 1,298,309]	adhE
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	[rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF 3,423,371 &larr; 3,429,047]	-	rrsDp1	[rrsDp1 3,429,047]	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD
rcnAB	[rcnAB 2,185,827 &rarr; 2,187,298]	+	rcnAp	[rcnAp 2,185,827]	rcnB // rcnA
ampC	[ampC 4,377,783 &larr; 4,379,003]	-	ampCp	[ampCp 4,379,003]	ampC
ygaZH	[ygaZH 2,809,617 &rarr; 2,810,679]	+			ygaH // ygaZ
trpR	[trpR 4,632,703 &rarr; 4,633,144]	+	trpRp	[trpRp 4,632,704]	trpR
fixABCX	[fixABCX 42,127 &rarr; 45,750]	+	fixAp	[fixAp 42,325]	fixX // fixC // fixB // fixA
znuA	[znuA 1,941,651 &larr; 1,942,661]	-	znuAp	[znuAp 1,942,661]	znuA
rrsE-gltV-rrlE-rrfE	[rrsE-gltV-rrlE-rrfE 4,207,971 &rarr; 4,213,209]	+	rrsEp2	[rrsEp2 4,207,971]	rrfE // rrlE // gltV // rrsE
yicG	[yicG 3,818,874 &rarr; 3,819,491]	+			yicG
rppH-ptsP	[rppH-ptsP 2,966,188 &larr; 2,968,993]	-	rppHp	[rppHp 2,968,993]	rppH // ptsP
crr	[crr 2,535,610 &rarr; 2,536,380]	+	crrpI	[crrpI 2,535,610]	crr
pyrG-eno	[pyrG-eno 2,906,643 &larr; 2,909,797]	-	pyrGp1	[pyrGp1 2,909,797]	eno // pyrG
folB	[folB 3,204,221 &larr; 3,204,589]	-			folB
yhbO	[yhbO 3,298,974 &rarr; 3,299,492]	+			yhbO
rprA	[rprA 1,770,372 &rarr; 1,770,477]	+	rprAp	[rprAp 1,770,372]	rprA
cyaR	[cyaR 2,167,114 &rarr; 2,167,200]	+	cyaRp2	[cyaRp2 2,167,114]	cyaR
mltF	[mltF 2,695,767 &rarr; 2,697,357]	+	mltFp	[mltFp 2,695,767]	mltF
ygcNOP	[ygcNOP 2,892,657 &rarr; 2,894,771]	+			ygcP // ygcO // ygcN
trpLEDCBA	[trpLEDCBA 1,316,383 &larr; 1,323,108]	-	trpLp	[trpLp 1,323,108]	trpA // trpB // trpC // trpD // trpE // trpL
yhjG	[yhjG 3,676,290 &larr; 3,678,412]	-	yhjGp	[yhjGp 3,678,412]	yhjG
wzbc	[wzbc 2,133,490 &larr; 2,137,243]	-	wzap2	[wzap2 2,137,193]	wza // wzc // wzb
gadAX	[gadAX 3,664,915 &larr; 3,667,607]	-	gadAp	[gadAp 3,667,607]	gadX // gadA
yfjW	[yfjW 2,773,318 &rarr; 2,775,021]	+			yfjW
manA	[manA 1,688,551 &rarr; 1,689,751]	+	manAp	[manAp 1,688,551]	manA
yecM-cutC	[yecM-cutC 1,958,447 &larr; 1,959,846]	-			yecM // cutC
pstSCA	[pstSCA 3,908,495 &larr; 3,911,568]	-	pstSp2	[pstSp2 3,911,568]	pstA // pstC // pstS
yfiK	[yfiK 2,715,423 &rarr; 2,716,010]	+			eamB
map-glnD-dapD	[map-glnD-dapD 185,123 &larr; 189,506]	-			map // glnD // dapD
yjiC	[yjiC 4,555,490 &larr; 4,556,320]	-			yjiC
tas	[tas 2,971,597 &rarr; 2,972,637]	+			tas
dapB	[dapB 28,343 &rarr; 29,272]	+	dapBp1	[dapBp1 28,343]	dapB
ssb	[ssb 4,273,938 &rarr; 4,274,661]	+	ssbp1	[ssbp1 4,274,092]	ssb
yjbFGH	[yjbFGH 4,236,262 &rarr; 4,239,730]	+			yjbH // yjbG // yjbF
xanQ-guaD-ghxQ	[xanQ-guaD-ghxQ 3,024,351 &rarr; 3,028,488]	+			ghxQ // guaD // xanQ
tpx	[tpx 1,388,305 &larr; 1,388,844]	-	tpxp	[tpxp 1,388,844]	tpx
dcuR	[dcuR 4,349,315 &larr; 4,350,565]	-	dcuRp	[dcuRp 4,350,565]	dcuR
yagU	[yagU 302,991 &rarr; 303,605]	+			yagU
yidKJ	[yidKJ 3,856,911 &larr; 3,860,116]	-			yidK // yidJ
katG	[katG 4,133,699 &rarr; 4,136,015]	+	katGp	[katGp 4,133,812]	katG
dmsABC	[dmsABC 940,959 &rarr; 944,896]	+			dmsC // dmsB // dmsA
sroA	[sroA 75,516 &larr; 75,608]	-	sroAp	[sroAp 75,608]	sroA
ade	[ade 3,843,910 &rarr; 3,845,730]	+	adep	[adep 3,843,910]	adeD
hrpA	[hrpA 1,483,061 &rarr; 1,486,963]	+			hrpA
betIBA	[betIBA 325,577 &larr; 329,361]	-	betIp	[betIp 329,361]	betA // betB // betI
uspG	[uspG 641,439 &larr; 641,903]	-	uspGp	[uspGp 641,903]	uspG
yajR	[yajR 445,302 &larr; 446,687]	-	yajRp	[yajRp 446,687]	yajR
infB	[infB 3,313,185 &larr; 3,316,027]	-	infBp	[infBp 3,316,027]	infB
acnB	[acnB 131,564 &rarr; 134,212]	+	acnBp2	[acnBp2 131,564]	acnB
yjjW	[yjjW 4,614,680 &larr; 4,615,543]	-			yjjW
acpT	[acpT 3,612,969 &rarr; 3,613,556]	+			acpT
fdhF	[fdhF 4,297,178 &larr; 4,299,407]	-	fdhFp	[fdhFp 4,299,407]	fdhF
galS	[galS 2,240,628 &larr; 2,241,710]	-	galSp	[galSp 2,241,710]	galS
ispDF	[ispDF 2,871,301 &larr; 2,872,490]	-			ispF // ispD
csgDEFG	[csgDEFG 1,100,851 &larr; 1,103,335]	-	csgDp	[csgDp 1,103,335]	csgG // csgF // csgE // csgD
rfaZ-waaU	[rfaZ-waaU 3,798,239 &larr; 3,800,226]	-	waaZp	[waaZp NIL &larr; NIL]	waaU // waaZ
glnW-metU-glnVX	[glnW-metU-glnVX 696,392 &larr; 696,860]	-	glnWp	[glnWp NIL &larr; NIL]	glnX // glnV // metU // glnW
fliFGHIJK	[fliFGHIJK 2,013,205 &rarr; 2,019,513]	+	fliFp2	[fliFp2 2,013,205]	fliF // fliG // fliH // fliI // fliJ // fliK
ftsK	[ftsK 933,138 &rarr; 937,213]	+	ftsKp1	[ftsKp1 933,138]	ftsK
msrPQ	[msrPQ 2,039,478 &rarr; 2,041,118]	+			msrQ // msrP
sibB	[sibB 2,153,646 &rarr; 2,153,781]	+	sibBp	[sibBp 2,153,646]	sibB
gabDTP	[gabDTP 2,790,912 &rarr; 2,795,653]	+	gabDp2	[gabDp2 2,790,912]	gabP // gabT // gabD
ribE-nusB-thiL-pgpA	[ribE-nusB-thiL-pgpA 434,504 &rarr; 437,107]	+	ribEp	[ribEp 434,504]	pgpA // thiL // nusB // ribE
mhpR-lacI	[mhpR-lacI 366,428 &larr; 368,536]	-	mhpRp1	[mhpRp1 368,536]	lacI // mhpR
cpxRA	[cpxRA 4,103,602 &larr; 4,105,686]	-	cpxRp2	[cpxRp2 4,105,686]	cpxA // cpxR
ybaV	[ybaV 463,937 &rarr; 464,308]	+			ybaV
cadBA	[cadBA 4,356,470 &larr; 4,360,106]	-	cadBp	[cadBp 4,360,106]	cadA // cadB
mltD	[mltD 232,597 &larr; 233,955]	-			mltD
yraM	[yraM 3,293,400 &rarr; 3,295,436]	+			lpoA
aroM	[aroM 407,400 &rarr; 408,105]	+	aroMp	[aroMp 407,400]	aroM
yjbEFGH	[yjbEFGH 4,235,872 &rarr; 4,239,730]	+	yjbEp2	[yjbEp2 4,235,872]	yjbH // yjbG // yjbF // yjbE
trmJ	[trmJ 2,662,583 &larr; 2,663,323]	-			trmJ
yfaY	[yfaY 2,362,431 &larr; 2,363,655]	-	yfaYp	[yfaYp 2,363,655]	yfaY
yegH	[yegH 2,137,863 &rarr; 2,139,485]	+	yegHp	[yegHp 2,137,863]	yegH
yhbW	[yhbW 3,303,448 &rarr; 3,304,455]	+			yhbW
acrB	[acrB 481,254 &larr; 484,685]	-	acrBp	[acrBp 484,685]	acrB
uxuAB	[uxuAB 4,551,358 &rarr; 4,554,361]	+	uxuAp	[uxuAp 4,551,518]	uxuB // uxuA
pflB	[pflB 951,207 &larr; 953,925]	-	pflBp5	[pflBp5 953,925]	pflB
yhhY	[yhhY 3,581,034 &rarr; 3,581,626]	+	yhhYp	[yhhYp 3,581,111]	yhhY
yjgX	[yjgX 4,499,593 &larr; 4,500,791]	-			yjgX
ptsG	[ptsG 1,157,621 &rarr; 1,159,302]	+	ptsGp1	[ptsGp1 1,157,766]	ptsG
hdhA	[hdhA 1,697,273 &larr; 1,698,122]	-	hdhAp	[hdhAp 1,698,122]	hdhA
cirA	[cirA 2,244,778 &larr; 2,246,929]	-	cirAp1	[cirAp1 2,246,929]	cirA
yhaJ	[yhaJ 3,253,318 &larr; 3,254,214]	-			yhaJ
hinT-ycfL-lpoB-thiK-nagZ-ycfP	[hinT-ycfL-lpoB-thiK-nagZ-ycfP 1,161,885 &rarr; 1,165,685]	+			ycfP // nagZ // thiK // lpoB // ycfL // hinT
degQS	[degQS 3,380,654 &rarr; 3,383,267]	+	degQp1	[degQp1 3,380,654]	degS // degQ
sdiA	[sdiA 1,996,110 &larr; 1,996,897]	-	sdiAp2	[sdiAp2 1,996,897]	sdiA
slp-dctR	[slp-dctR 3,653,936 &rarr; 3,655,213]	+	slpp	[slpp 3,653,936]	dctR // slp
pflA	[pflA 950,301 &larr; 951,154]	-	pflAp	[pflAp 951,154]	pflA
crp	[crp 3,485,861 &rarr; 3,486,792]	+	crpp2	[crpp2 3,486,031]	crp
yqeF	[yqeF 2,984,411 &larr; 2,985,592]	-			yqeF
rnc-era-recO-pdxJ-acpS	[rnc-era-recO-pdxJ-acpS 2,700,618 &larr; 2,704,223]	-	rncp	[rncp 2,704,223]	acpS // pdxJ // recO // era // rnc
yddE	[yddE 1,534,965 &larr; 1,535,858]	-			yddE
metG	[metG 2,194,269 &rarr; 2,196,366]	+	metGp1	[metGp1 2,194,269]	metG
fxsA	[fxsA 4,368,603 &rarr; 4,369,140]	+	fxsAp	[fxsAp 4,368,603]	fxsA
yeiR-lpxT	[yeiR-lpxT 2,267,829 &rarr; 2,269,567]	+			lpxT // yeiR
yfiM	[yfiM 2,724,128 &rarr; 2,724,451]	+			yfiM
fliLMNOPQR	[fliLMNOPQR 2,019,595 &rarr; 2,023,678]	+	fliLp2	[fliLp2 2,019,595]	fliR // fliQ // fliP // fliO // fliN // fliM // fliL
epd-pgk-fbaA	[epd-pgk-fbaA 3,070,165 &larr; 3,073,823]	-	epdp	[epdp 3,073,823]	fbaA // pgk // epd
nrdG	[nrdG 4,459,900 &larr; 4,460,394]	-	nrdGp	[nrdGp NIL &larr; NIL]	nrdG
